1514344394.64	47.88
1514344399.68	46.82
1514344403.49	47.89
1514344407.28	46.9
1514344412.33	47.87
1514344416.13	46.88
1514344421.17	46.93
1514344424.97	46.87
1514344428.77	47.87
1514344433.82	47.88
1514344437.62	46.84
1514344442.66	46.89
1514344446.46	46.85
1514344450.26	46.91
1514344455.3	47.85
1514344457.65	47.93
1514344461.66	46.85
1514344465.46	46.87
1514344469.26	46.94
1514344959.77	47.83
1514344964.33	46.91
1514344969.59	46.97
1514344974.85	47.87
1514344980.11	46.9
1514344984.07	46.89
1514344992.01	46.9
1514344997.27	47.94
1514345002.53	46.87
1514345007.79	46.87
1514345011.3	47.88
1514345015.73	47.9
1514345046.89	46.88
1514345052.15	47.87
1514345057.41	47.87
1514345067.93	46.91
1514345071.9	46.9
1514345077.16	46.88
1514345081.13	47.87
1514345087.08	47.91
1514345091.65	47.94
1514345096.91	47.93
1514345102.17	47.89
1514345106.14	47.94
1514345111.39	47.83
1514345116.65	46.88
1514345121.91	46.9
1514345127.17	47.9
1514345132.43	47.91
1514345136.4	47.87
1514345141.66	46.84
1514345145.63	47.9
1514345150.89	47.89
1514345156.15	46.89
1514345160.84	46.87
1514345165.37	47.86
1514345169.34	46.87
1514345174.6	46.94
