date	close
1513976779.37	19.59
1513976781.85	19.58
1513976784.34	19.59
1513976786.83	19.58
1513976789.31	19.59
1513976791.8	19.58
1513977152.67	19.65
1513977155.16	19.65
1513977157.65	19.65
1513977160.13	19.65
1513977271.91	19.72
1513977274.4	19.71
1513977276.88	19.72
1513977279.37	19.72
1513977281.86	19.72
1513977426.01	19.73
1513977486.93	19.72
1513977547.86	19.72
1513977608.78	19.72
1513977669.7	19.76
1513977730.63	19.74
1513977791.55	19.72
1513977852.47	19.71
1513977913.39	19.69
1513977974.32	19.68
1513978035.25	19.67
1513978096.17	19.66
1513978157.09	19.66
1513978218.01	19.66
1513978278.93	19.66
1513978339.86	19.66
1513978400.78	19.66
1513978461.7	19.64
1513978522.62	19.63
1513978583.55	19.61
1513978644.47	19.60
1513978705.39	19.59
1513978766.31	19.59
1513978827.22	19.59
1513978888.15	19.58
1513978949.08	19.57
1513979010.0	19.57
1513979070.92	19.56
1513979131.85	19.56
1513979192.79	19.56
1513979253.71	19.56
1513979314.63	19.56
1513979375.56	19.54
1513979436.48	19.55
1513979497.4	19.47
1513979558.33	19.47
1513979619.25	19.48
1513979680.18	19.47
1513979741.1	19.48
1513979802.02	19.46
1513979862.94	19.46
1513979923.86	19.45
1513979984.78	19.36
1513980045.71	19.36
1513980106.63	19.37
1513980167.56	19.38
1513980228.48	19.40
1513980289.4	19.39
1513980350.33	19.39
1513980411.25	19.39
1513980472.17	19.40
1513980533.09	19.39
1513980594.02	19.39
1513980654.94	19.38
1513980715.86	19.39
1513980776.78	19.37
1513980837.7	19.36
1513980898.62	19.34
1513980959.54	19.32
1513981020.46	19.32
1513981081.38	19.33
1513981142.3	19.34
1513981203.23	19.34
1513981264.15	19.34
1513981325.07	19.35
1513981386.0	19.34
1513981446.92	19.34
1513981507.84	19.33
1513981568.76	19.33
1513981629.69	19.33
1513981690.61	19.33
1513981751.53	19.33
1513981812.46	19.31
1513981873.38	19.31
1513981934.3	19.31
1513981995.22	19.32
1513982056.15	19.31
1513982117.07	19.30
1513982177.99	19.31
1513982238.92	19.31
1513982299.84	19.31
1513982360.76	19.32
1513982421.69	19.32
1513982482.61	19.31
1513982543.53	19.32
1513982604.45	19.32
1513982665.38	19.33
1513982726.3	19.33
1513982787.23	19.32
1513982848.14	19.33
1513982909.06	19.33
1513982969.98	19.33
1513983030.91	19.34
1513983091.83	19.34
1513983152.76	19.35
1513983213.68	19.35
1513983274.6	19.36
1513983335.53	19.36
1513983396.44	19.36
1513983457.36	19.36
1513983518.28	19.37
1513983579.21	19.38
1513983640.13	19.36
1513983701.06	19.38
1513983761.98	19.38
1513983822.9	19.38
1513983883.82	19.39
1513983944.75	19.40
1513984005.67	19.39
1513984066.59	19.40
1513984127.51	19.40
1513984188.44	19.41
1513984249.36	19.41
1513984310.29	19.41
1513984371.21	19.42
1513984432.14	19.42
1513984493.06	19.42
1513984553.98	19.43
1513984614.9	19.43
1513984675.82	19.42
1513984736.75	19.44
1513984797.67	19.44
1513984858.6	19.45
1513984919.52	19.44
1513984980.44	19.45
1513985041.37	19.45
1513985102.29	19.46
1513985163.21	19.46
1513985224.13	19.47
1513985285.05	19.47
1513985345.97	19.47
1513985406.89	19.47
1513985467.81	19.48
1513985528.73	19.48
1513985589.66	19.48
1513985650.59	19.49
1513985711.53	19.48
1513985772.46	19.48
1513985833.38	19.48
1513985894.3	19.47
1513985955.22	19.48
1513986016.15	19.48
1513986077.07	19.48
1513986137.99	19.48
1513986198.91	19.48
1513986259.83	19.47
1513986320.75	19.47
1513986381.68	19.46
1513986442.6	19.47
1513986503.52	19.46
1513986564.44	19.45
1513986625.36	19.42
1513986686.29	19.42
1513986747.21	19.43
1513986808.14	19.42
1513986869.05	19.42
1513986929.97	19.42
1513986990.9	19.41
1513987051.82	19.41
1513987112.75	19.41
1513987173.67	19.41
1513987234.6	19.40
1513987295.52	19.37
1513987356.44	19.37
1513987417.36	19.35
1513987478.3	19.35
1513987539.22	19.34
1513987600.14	19.35
1513987661.06	19.33
1513987721.98	19.32
1513987782.89	19.28
1513987843.81	19.26
1513987904.74	19.28
1513987965.66	19.28
1513988026.58	19.28
1513988087.5	19.29
1513988148.43	19.27
1513988209.35	19.28
1513988270.27	19.28
1513988331.18	19.27
1513988392.11	19.26
1513988453.03	19.28
1513988513.96	19.28
1513988574.88	19.27
1513988635.8	19.27
1513988696.72	19.26
1513988757.64	19.28
1513988818.56	19.28
1513988879.48	19.27
1513988940.4	19.28
1513989001.32	19.28
1513989062.24	19.28
1513989123.16	19.29
1513989184.08	19.29
1513989245.01	19.29
1513989305.93	19.28
1513989366.86	19.28
1513989427.79	19.29
1513989488.71	19.30
1513989549.64	19.30
1513989610.57	19.30
1513989671.49	19.30
1513989732.42	19.31
1513989793.34	19.31
1513989854.27	19.31
1513989915.21	19.32
1513989976.15	19.32
1513990037.07	19.32
1513990097.99	19.32
1513990158.91	19.32
1513990219.84	19.33
1513990280.76	19.33
1513990341.69	19.33
1513990402.62	19.34
1513990463.54	19.33
1513990524.47	19.34
1513990585.39	19.34
1513990646.32	19.34
1513990707.24	19.34
1513990768.17	19.34
1513990829.08	19.35
1513990890.01	19.35
1513990950.93	19.36
1513991011.86	19.35
1513991072.79	19.36
1513991133.72	19.36
1513991194.64	19.37
1513991255.56	19.38
1513991316.49	19.37
1513991377.42	19.38
1513991438.34	19.39
1513991499.27	19.39
1513991560.2	19.39
1513991621.12	19.40
1513991682.06	19.40
1513991742.99	19.41
1513991803.92	19.40
1513991864.85	19.41
1513991925.78	19.41
1513991986.7	19.42
1513992047.62	19.42
1513992108.54	19.43
1513992169.46	19.43
1513992230.38	19.43
1513992291.31	19.44
1513992352.23	19.43
1513992413.15	19.44
1513992474.07	19.45
1513992535.0	19.45
1513992595.92	19.44
1513992656.84	19.44
1513992717.76	19.46
1513992778.68	19.46
1513992839.6	19.46
1513992900.53	19.47
1513992961.46	19.46
1513993022.39	19.46
1513993083.32	19.47
1513993144.24	19.47
1513993205.16	19.48
1513993266.09	19.48
1513993327.01	19.47
1513993387.93	19.47
1513993448.86	19.46
1513993509.78	19.47
1513993570.7	19.46
1513993631.63	19.46
1513993692.56	19.45
1513993753.48	19.45
1513993814.4	19.45
1513993875.31	19.44
1513993936.24	19.44
1513993997.16	19.45
1513994058.08	19.44
1513994119.01	19.44
1513994179.94	19.44
1513994240.87	19.44
1513994301.79	19.44
1513994362.71	19.42
1513994423.63	19.42
1513994484.55	19.42
1513994545.48	19.42
1513994606.41	19.42
1513994667.34	19.42
1513994728.26	19.41
1513994789.19	19.41
1513994850.12	19.40
1513994911.04	19.40
1513994971.97	19.41
1513995032.91	19.41
1513995093.83	19.40
1513995154.76	19.40
1513995215.69	19.39
1513995276.62	19.39
1513995337.54	19.37
1513995398.46	19.38
1513995459.4	19.36
1513995520.33	19.37
1513995581.26	19.37
1513995642.19	19.36
1513995703.11	19.36
1513995764.03	19.37
1513995824.96	19.36
1513995885.88	19.38
1513995946.81	19.36
1513996007.73	19.37
1513996068.65	19.37
1513996129.58	19.37
1513996190.5	19.38
1513996251.42	19.38
1513996312.34	19.38
1513996373.26	19.39
1513996434.19	19.39
1513996495.11	19.39
1513996556.03	19.40
1513996616.96	19.39
1513996677.88	19.39
1513996738.81	19.40
1513996799.74	19.40
1513996860.67	19.40
1513996921.6	19.41
1513996982.52	19.40
1513997043.46	19.41
1513997104.38	19.42
1513997165.32	19.40
1513997226.24	19.41
1513997287.17	19.42
1513997348.09	19.42
1513997409.02	19.42
1513997469.94	19.42
1513997530.86	19.43
1513997591.78	19.44
1513997652.71	19.44
1513997713.63	19.45
1513997774.56	19.44
1513997835.48	19.45
1513997896.4	19.45
1513997957.32	19.46
1513998018.25	19.46
1513998079.18	19.46
1513998140.1	19.47
1513998201.02	19.47
1513998261.94	19.47
1513998322.87	19.48
1513998383.78	19.48
1513998444.7	19.48
1513998505.63	19.48
1513998566.55	19.48
1513998627.48	19.48
1513998688.41	19.49
1513998749.34	19.49
1513998810.27	19.49
1513998871.2	19.49
1513998932.13	19.49
1513998993.06	19.50
1513999054.0	19.50
1513999114.92	19.50
1513999175.86	19.51
1513999236.79	19.51
1513999297.72	19.50
1513999358.66	19.50
1513999419.59	19.51
1513999480.52	19.50
1513999541.45	19.50
1513999602.37	19.51
1513999663.3	19.50
1513999724.22	19.50
1513999785.15	19.49
1513999846.07	19.49
1513999906.99	19.49
1513999967.93	19.49
1514000028.86	19.48
1514000089.8	19.47
1514000150.72	19.46
1514000211.66	19.47
1514000272.59	19.46
1514000333.52	19.46
1514000394.46	19.45
1514000455.4	19.44
1514000516.33	19.44
1514000577.25	19.44
1514000638.18	19.43
1514000699.1	19.43
1514000760.02	19.43
1514000820.95	19.43
1514000881.87	19.41
1514000942.79	19.41
1514001003.71	19.40
1514001064.64	19.40
1514001125.57	19.40
1514001186.49	19.40
1514001247.41	19.39
1514001308.33	19.39
1514001369.26	19.39
1514001430.19	19.37
1514001491.11	19.37
1514001552.02	19.36
1514001612.93	19.36
1514001673.84	19.36
1514001734.77	19.36
1514001795.68	19.35
1514001856.61	19.35
1514001917.55	19.34
1514001978.47	19.35
1514002039.4	19.34
1514002100.33	19.34
1514002161.26	19.34
1514002222.19	19.34
1514002283.13	19.33
1514002344.05	19.33
1514002404.97	19.34
1514002465.9	19.34
1514002526.83	19.35
1514002587.76	19.35
1514002648.68	19.36
1514002709.61	19.36
1514002770.53	19.36
1514002831.45	19.36
1514002892.36	19.37
1514002953.29	19.37
1514003014.22	19.38
1514003075.15	19.37
1514003136.07	19.38
