date	close
1514410407.15	17.17
1514410414.0	17.2
1514410421.2	17.18
1514410428.4	17.19
1514410435.6	17.18
1514410442.8	17.17
1514410512.04	17.17
1514410518.38	17.17
1514410525.58	17.18
1514410532.78	17.17
1514410539.98	17.19
1514410547.18	17.17
1514410554.38	17.19
1514410561.58	17.14
1514410568.77	17.18
1514410575.97	17.16
1514410583.17	17.17
1514410590.37	17.16
1514410597.57	17.2
1514410604.77	17.18
1514410611.96	17.19
1514410619.17	17.17
1514410626.37	17.16
1514410633.56	17.19
1514410640.75	17.19
1514410647.96	17.18
1514410655.15	17.18
1514410662.35	17.19
1514410669.56	17.15
1514410676.75	17.19
1514410683.95	17.17
1514410691.14	17.16
1514410698.34	17.17
1514410705.55	17.18
1514410712.74	17.18
1514410719.94	17.19
1514410727.14	17.17
1514410734.34	17.18
1514410741.54	17.18
1514410748.74	17.15
1514410755.94	17.16
1514410763.14	17.15
1514410770.33	17.14
1514410777.53	17.17
1514410784.73	17.19
1514410791.93	17.16
1514410799.12	17.13
1514410806.32	17.15
1514410813.52	17.18
1514410820.72	17.18
1514410827.92	17.15
1514410835.12	17.16
1514410842.31	17.15
1514410849.51	17.15
1514410856.71	17.17
1514410863.92	17.14
1514410871.1	17.16
1514410878.3	17.17
1514410885.51	17.17
1514410892.71	17.15
1514410899.9	17.18
1514410911.26	17.11
1514410917.9	17.18
1514410925.09	17.18
1514410932.29	17.18
1514410939.49	17.17
1514410946.69	17.16
1514410953.89	17.15
1514410961.09	17.19
1514410968.29	17.15
1514410975.48	17.17
1514410982.69	17.16
1514410989.88	17.16
1514410997.08	17.15
1514411004.28	17.18
1514411011.47	17.14
1514411018.67	17.16
1514411025.88	17.16
1514411033.07	17.16
1514411040.27	17.16
1514411047.47	17.17
1514411054.66	17.15
1514411061.86	17.16
1514411069.06	17.16
1514411076.26	17.14
1514411083.46	17.14
1514411090.65	17.18
1514411097.85	17.18
1514411105.05	17.15
1514411112.25	17.16
1514411119.45	17.15
1514411126.66	17.12
1514411133.85	17.15
1514411141.04	17.17
1514411148.24	17.16
1514411212.03	17.15
1514411220.23	17.16
1514411234.61	17.16
1514411246.05	17.15
1514411252.62	17.17
1514411263.41	17.13
1514411270.62	17.17
1514411277.81	17.16
1514411285.02	17.18
1514411292.21	17.17
1514411299.42	17.14
1514411306.61	17.17
1514411313.81	17.18
1514411321.02	17.15
1514411328.2	17.17
1514411335.42	17.15
1514411342.61	17.12
1514411349.79	17.16
1514411356.99	17.18
1514411364.19	17.14
1514411371.38	17.16
1514411378.59	17.15
1514411385.8	17.15
1514411392.98	17.15
1514411400.18	17.17
1514411407.38	17.17
1514411414.58	17.18
1514411421.77	17.13
1514411428.97	17.16
1514411436.17	17.16
1514411443.37	17.12
1514411450.57	17.16
1514411457.76	17.18
1514411464.96	17.2
1514411472.17	17.13
1514411479.36	17.15
1514411486.55	17.16
1514411493.96	17.13
1514411500.95	17.16
1514411508.15	17.15
1514411515.35	17.15
1514411526.16	17.14
1514411533.35	17.14
1514411540.55	17.17
1514411547.74	17.17
1514411554.94	17.18
1514411562.14	17.15
1514411569.34	17.16
1514411581.04	17.16
1514411587.33	17.15
1514411594.54	17.18
1514411601.73	17.14
1514411608.93	17.15
1514411621.24	17.15
1514411626.92	17.17
1514411637.72	17.18
1514411644.92	17.16
1514411652.12	17.13
1514411659.32	17.18
1514411666.51	17.16
1514411677.31	17.15
1514411684.51	17.15
1514411691.71	17.18
1514411698.91	17.18
1514411706.11	17.14
1514411713.3	17.15
1514411720.5	17.15
1514411731.3	17.14
1514411742.84	17.18
1514411749.3	17.15
1514411756.5	17.15
1514411763.69	17.15
1514411770.89	17.16
1514411778.09	17.14
1514411785.29	17.18
1514411792.48	17.15
1514411799.68	17.16
1514411806.88	17.12
1514411814.08	17.16
1514411821.28	17.15
1514411828.48	17.15
1514411835.67	17.17
1514411842.87	17.15
1514411850.07	17.15
1514411857.27	17.18
1514411864.47	17.17
1514411875.97	17.18
1514411882.46	17.14
1514411889.66	17.17
1514411896.86	17.15
1514411904.06	17.16
1514411917.13	17.15
1514411925.66	17.12
1514411932.86	17.14
1514411940.05	17.18
1514411947.25	17.17
1514411954.45	17.15
1514411961.64	17.14
1514411968.84	17.15
1514411976.04	17.14
1514411983.24	17.15
1514411990.44	17.15
1514411997.64	17.15
1514412004.84	17.18
1514412012.04	17.16
1514412019.23	17.15
1514412026.43	17.18
1514412033.63	17.16
1514412040.84	17.14
1514412048.02	17.18
1514412055.22	17.14
1514412062.43	17.18
1514412069.62	17.15
1514412076.82	17.18
1514412084.01	17.16
1514412091.22	17.14
1514412098.41	17.15
1514412105.61	17.13
1514412112.81	17.13
1514412120.01	17.15
1514412127.2	17.15
1514412138.0	17.18
1514412145.2	17.16
1514412152.4	17.18
1514412159.6	17.15
1514412166.79	17.17
1514412174.0	17.16
1514412181.2	17.15
1514412188.39	17.17
1514412195.58	17.15
1514412202.78	17.14
1514412209.99	17.17
1514412217.19	17.13
1514412224.38	17.15
1514412231.58	17.14
1514412238.78	17.12
1514412245.98	17.17
1514412253.18	17.17
1514412260.38	17.14
1514412267.57	17.16
1514412282.64	17.19
1514412289.17	17.12
1514412296.37	17.15
1514412303.56	17.18
1514412310.76	17.14
1514412319.19	17.16
1514412325.16	17.15
1514412335.96	17.19
1514412343.17	17.17
1514412350.4	17.17
1514412357.55	17.15
1514412364.76	17.18
1514412371.95	17.16
1514412379.15	17.15
1514412864.02	17.16
1514412874.24	17.14
1514412885.04	17.19
1514414129.62	17.19
1514414134.55	17.19
1514414141.75	17.19
1514414148.96	17.18
1514414152.55	17.13
1514414159.75	17.18
1514414166.95	17.17
1514414174.15	17.17
1514414181.35	17.2
1514414188.55	17.15
1514414195.74	17.17
1514414206.54	17.15
1514414210.14	17.17
1514414217.33	17.19
1514414224.53	17.16
1514414231.73	17.21
1514414238.94	17.17
1514414246.13	17.18
