date	close
1514345519.27	46.94
1514345551.73	47.93
1514345556.98	46.91
1514345562.24	47.9
1514345566.21	47.9
1514345703.15	46.91
1514345708.41	47.9
1514345713.67	47.86
1514345718.93	46.91
1514345722.9	46.95
1514345728.16	47.9
1514345732.13	46.96
1514345737.38	46.96
1514345742.64	47.87
1514345747.9	46.92
1514345754.45	46.94
1514345758.42	47.92
1514345763.68	46.93
1514345768.94	46.94
1514345774.2	46.93
1514345779.46	46.91
1514345784.72	47.93
1514345788.69	46.96
1514345793.95	46.96
1514345797.92	47.94
1514345803.18	46.95
1514345809.73	46.96
1514345813.69	46.96
1514345818.95	47.95
1514345822.92	47.98
1514345834.74	21.91
1514345840.55	21.96
1514345845.26	20.95
1514345850.51	21.97
1514345854.48	21.99
1514345859.74	21.96
1514345865.0	21.91
1514345870.26	21.87
1514345874.23	22.96
1514345878.2	21.92
1514345883.46	21.97
1514345888.72	21.9
1514345893.97	21.92
1514345903.21	21.95
1514345907.17	21.95
1514345912.44	21.98
1514345917.69	21.96
1514345922.95	21.9
1514345928.21	21.92
1514345932.18	21.89
1514345937.44	22.94
1514345941.41	21.96
1514345946.66	21.95
1514345950.64	21.92
1514345955.9	21.98
1514345961.15	21.96
1514345965.12	21.94
1514345970.38	21.95
1514345974.35	21.97
1514345979.61	21.92
1514345984.87	21.97
1514345990.12	21.97
1514345994.09	21.95
1514345998.07	21.96
1514346003.32	21.93
1514346008.58	21.95
1514346013.84	21.91
1514346019.1	21.99
1514346024.36	21.91
1514346028.33	21.98
1514346033.59	21.96
1514346037.59	21.97
1514346042.82	21.96
1514346049.37	20.96
1514346053.34	21.94
1514346058.6	21.99
1514346062.57	22.95
1514346067.83	45.95
1514346073.08	46.98
1514346078.35	46.94
1514346082.31	47.97
1514346086.28	46.95
1514346091.55	47.96
1514346096.8	47.96
1514346102.06	46.94
1514346107.32	46.95
1514346112.58	47.99
1514346116.54	47.96
1514346121.8	47.02
1514346125.78	48.02
1514346131.67	47.97
1514346136.3	46.97
1514346140.26	47.99
1514346145.52	47.97
1514346149.49	47.93
1514346154.75	47.98
1514346160.01	47.92
1514346165.26	47.89
1514346169.23	47.93
1514346173.2	46.92
1514346182.43	47.96
1514346187.69	46.85
1514346192.95	47.94
1514346198.21	46.97
1514346202.18	46.92
1514346206.15	47.95
1514346211.41	47.98
1514346216.66	46.96
1514346221.92	47.88
1514346227.18	46.92
1514346232.44	46.92
1514346236.41	46.93
1514346241.67	47.94
1514346245.64	46.94
1514346250.9	47.94
1514346256.16	47.94
1514346260.12	47.94
1514346265.38	47.9
1514346269.35	46.92
1514346274.61	47.92
1514346279.87	47.92
1514346285.13	47.94
1514346289.1	47.92
1514346293.07	46.93
1514346298.33	47.94
1514346303.59	47.92
1514346308.85	46.92
1514346314.11	47.92
1514346319.37	47.87
1514346323.34	47.96
1514346328.59	47.89
1514346332.57	46.95
1514346337.82	46.89
1514346343.08	47.89
1514346348.62	47.93
1514346353.61	46.97
1514346357.58	46.94
1514346362.83	47.9
1514346368.09	46.95
1514346373.35	47.93
1514346378.61	46.94
1514346383.87	47.92
1514346387.84	47.95
1514346393.1	47.9
1514346398.36	46.95
1514346403.61	46.9
1514346408.87	46.95
1514346412.84	46.92
1514346418.1	46.96
1514346422.07	46.98
1514346427.33	47.94
1514346432.6	46.9
1514346437.85	47.92
1514346441.82	46.96
1514346445.8	46.97
1514346451.05	47.91
1514346456.31	47.98
1514346461.57	47.94
1514346466.83	47.94
1514346472.09	47.93
1514346476.06	46.98
1514346481.32	46.91
1514346485.28	47.92
1514346490.54	47.91
1514346497.09	47.93
1514346501.06	46.9
1514346506.33	47.93
1514346510.29	47.93
1514346515.55	47.9
1514346520.81	46.93
1514346526.07	47.93
1514346530.05	46.93
1514346534.01	47.91
1514346539.72	47.95
1514346544.53	46.92
1514346549.79	46.88
1514346555.08	47.89
1514346560.31	46.92
1514346564.27	47.94
1514346569.54	46.93
1514346573.51	47.94
1514346578.76	46.93
1514346584.02	47.95
1514346589.29	46.97
1514346593.25	47.93
1514346597.22	46.96
1514346602.49	46.97
1514346607.75	46.98
1514346613.0	46.97
1514346622.23	47.95
1514346626.2	47.97
1514346631.46	47.95
1514346636.72	46.93
1514346641.98	46.96
1514346647.24	46.9
1514346651.21	47.92
1514346656.47	46.99
1514346660.44	47.93
1514346665.7	47.98
1514346670.96	46.95
1514346676.22	46.97
1514346681.48	47.89
1514346685.46	47.91
1514346690.71	46.94
1514346695.97	47.94
1514346701.23	46.89
1514346706.49	46.9
1514346711.75	47.94
1514346715.72	46.97
1514346720.97	46.93
1514346724.95	46.96
1514346730.21	47.94
1514346736.76	46.95
1514346740.73	47.05
1514346745.99	47.95
1514346749.95	47.96
1514346755.21	46.94
1514346760.48	46.93
1514346765.73	47.97
1514346769.7	46.97
1514346773.67	47.97
1514346778.93	46.97
1514346784.2	46.95
1514346789.45	46.94
1514346794.71	47.02
1514346799.97	46.97
1514346803.94	47.9
1514346809.2	46.97
1514346813.17	46.97
1514346818.43	46.97
1514346823.69	46.98
1514346827.66	46.98
1514346832.92	47.92
1514346836.89	46.97
1514346842.15	46.92
1514346847.41	46.93
1514346852.67	46.94
1514346861.89	46.88
1514346867.15	47.96
1514346872.41	47.95
1514346877.67	47.95
1514346882.93	46.92
1514346888.19	47.92
1514346892.16	46.91
1514346897.42	47.88
1514346901.39	46.88
1514346906.65	47.87
1514346911.91	46.88
1514346917.17	46.92
1514346921.14	47.93
1514346925.11	46.9
1514346930.37	47.88
1514346935.62	46.9
1514346940.9	47.87
1514346946.15	47.91
1514346951.4	47.92
1514346955.37	47.88
1514346960.63	46.88
1514346965.89	46.91
1514346971.15	47.91
1514346976.41	46.88
1514346980.38	46.96
1514346985.64	46.88
1514346989.61	46.87
1514346994.87	47.95
1514347000.13	47.9
1514347005.39	47.88
1514347009.36	46.87
1514347013.36	47.88
1514347019.06	47.87
1514347023.85	47.85
1514347029.1	46.85
1514347034.36	47.92
1514347039.62	47.88
1514347043.59	46.84
1514347048.85	47.87
1514347052.82	46.91
1514347058.08	46.85
1514347064.63	47.87
1514347068.6	46.83
1514347077.83	46.85
1514347083.09	47.88
1514347088.35	47.88
1514347093.6	46.87
1514347097.57	46.84
1514347101.54	47.86
1514347106.8	46.83
1514347112.06	47.85
1514347117.31	46.84
1514347122.58	46.83
1514347127.84	47.86
1514347131.8	46.86
1514347137.07	46.89
1514347141.05	46.84
1514347146.3	47.85
1514347151.55	47.81
1514347156.82	47.84
1514347162.07	46.84
1514347168.62	47.81
1514347172.6	46.83
1514347177.85	47.84
1514347183.11	47.86
1514347187.09	46.85
1514347193.28	46.86
1514347197.6	47.76
1514347202.86	46.82
1514347208.12	47.85
1514347213.38	47.81
1514347217.35	47.86
1514347221.32	46.87
1514347226.58	46.84
1514347232.0	46.84
1514347237.1	47.84
1514347242.36	47.87
1514347247.62	46.8
1514347251.59	47.81
1514347256.85	47.82
1514347260.81	46.82
1514347271.33	47.83
1514347276.59	46.87
1514347281.85	47.83
1514347285.82	46.89
1514347291.08	46.88
1514347296.34	47.82
1514347301.6	47.8
1514347306.86	47.81
1514347312.12	46.79
1514347316.09	47.85
1514347321.35	46.86
1514347326.61	47.83
1514347331.87	47.77
1514347335.84	47.85
1514347339.81	47.76
1514347345.07	47.81
1514347349.04	47.88
1514347354.3	46.89
1514347359.55	46.87
1514347364.81	46.87
1514347368.78	47.87
1514347372.75	47.8
1514347378.01	47.89
1514347383.27	47.88
1514347388.53	46.89
1514347395.08	47.83
1514347400.34	46.85
1514347404.31	47.83
1514347409.57	47.9
1514347413.54	46.84
1514347418.8	46.85
1514347425.35	47.85
1514347429.32	47.9
1514347434.58	46.82
1514347439.84	47.89
1514347445.1	47.89
1514347455.62	47.89
1514347459.59	46.91
1514347464.84	47.87
1514347468.81	46.8
1514347474.07	46.87
1514347479.33	46.88
1514347485.77	46.85
1514347489.85	47.86
1514347493.82	47.88
1514347499.08	46.83
1514347504.34	46.83
1514347509.6	46.83
1514347514.86	47.82
1514347520.12	47.8
1514347524.08	46.83
1514347529.34	47.81
1514347533.32	46.85
1514347538.57	46.84
1514347545.12	47.86
1514347550.0	46.81
1514347555.64	47.94
1514347560.9	46.82
1514347566.16	47.88
1514347571.42	46.85
1514347576.68	47.85
1514347580.65	47.85
1514347585.91	47.92
1514347589.89	46.86
1514347595.14	47.81
1514347600.4	47.85
1514347605.66	46.82
1514347609.63	47.82
1514347613.61	46.81
1514347618.86	47.91
1514347624.12	46.86
1514347629.38	46.87
1514347638.61	46.88
1514347642.57	46.85
1514347647.83	47.81
1514347653.09	46.82
1514347658.35	46.8
1514347663.61	46.81
1514347667.58	46.79
1514347672.84	47.81
1514347676.82	47.8
1514347682.07	46.83
1514347686.04	46.86
1514347691.3	46.84
1514347696.56	47.83
1514347700.53	46.87
1514347706.58	47.79
1514347711.05	47.86
1514347716.31	46.87
1514347721.57	46.83
1514347725.54	46.84
1514347729.51	47.82
1514347733.48	46.81
1514347738.74	47.84
1514347743.99	47.86
1514347749.26	46.86
1514347754.51	47.84
1514347759.77	47.85
1514347763.74	47.81
1514347769.0	46.84
1514347772.96	46.81
1514347783.49	46.83
1514347787.45	46.79
1514347792.71	47.82
1514347796.68	46.8
1514347801.94	46.78
1514347805.91	46.83
1514347811.17	46.81
1514347816.43	46.83
1514347820.4	46.81
1514347825.66	46.84
1514347829.63	46.85
1514347834.89	47.82
1514347840.14	46.8
1514347845.4	47.82
1514347849.37	47.81
1514347853.34	46.76
1514347858.6	46.8
1514347863.86	46.83
1514347869.12	46.81
1514347874.38	46.75
1514347879.64	46.78
1514347883.61	46.81
1514347888.87	47.78
1514347892.84	46.79
1514347898.11	47.76
1514347904.65	46.81
1514347908.62	46.76
1514347913.88	46.79
1514347917.85	47.79
1514347923.1	47.83
1514347928.37	46.81
1514347933.62	46.81
1514347937.59	47.81
1514347941.57	46.79
1514347946.83	46.83
1514347952.08	46.85
1514347957.34	46.81
1514347962.6	46.84
1514347967.86	46.81
1514347971.83	46.78
1514347977.09	46.79
1514347981.07	47.81
1514347986.32	47.84
1514347991.58	46.83
1514347995.55	46.84
1514348000.8	47.83
1514348004.78	46.83
1514348010.04	46.84
1514348015.29	47.79
1514348020.55	47.81
1514348025.81	46.8
1514348030.97	46.76
1514348035.05	47.77
1514348040.3	47.8
1514348045.56	47.84
1514348050.82	47.74
1514348056.08	47.77
1514348060.06	47.77
1514348065.31	47.8
1514348069.28	46.82
1514348074.55	47.78
1514348079.8	47.77
1514348085.06	46.82
1514348089.03	46.83
1514348093.0	46.85
1514348098.26	46.75
1514348103.52	46.77
1514348108.78	47.71
1514348114.03	46.81
1514348119.3	47.85
1514348123.27	46.8
1514348128.53	47.77
1514348132.5	47.82
1514348143.02	47.74
1514348146.99	47.77
